Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214513.merged	96.776295377	54.0	467.874123487	32230.0
temp | CRR214514.merged	97.2544324725	51.0	453.06944872	87705.0
temp | CRR214515.merged	96.3267504488	53.0	454.398007181	55700.0
temp | CRR214516.merged	96.7799642218	53.0	452.450146591	80496.0
temp | CRR214517.merged	95.6413071407	52.0	453.485365911	42811.0
temp | CRR214518.merged	95.9763624425	52.0	451.89089954	38075.0
temp | CRR214519.merged	95.3873473918	51.0	458.624617092	45050.0
temp | CRR214520.merged	95.4642445758	52.0	454.313480749	52957.0
temp | CRR214521.merged	95.4035035185	51.0	460.321814643	33395.0
temp | CRR214522.merged	96.6685113448	51.0	457.8414038	108420.0
temp | CRR214523.merged	96.118350622	51.0	454.408929824	54178.0
temp | CRR214524.merged	96.4013535383	51.0	456.718714139	67970.0
temp | CRR214525.merged	94.6917119966	52.0	451.533428013	37319.0
temp | CRR214526.merged	96.256205618	51.0	456.229827814	63652.0
temp | CRR214527.merged	95.6694326977	50.0	463.745671427	50132.0
temp | CRR214528.merged	95.8668073251	50.0	460.717357786	36969.0
temp | CRR214529.merged	96.9389772118	52.0	453.62578714	70826.0
temp | CRR214530.merged	95.8491986186	53.0	458.94744532	45172.0
temp | CRR214531.merged	95.7048719888	52.0	457.894026142	46285.0
temp | CRR214532.merged	94.8725863429	54.0	459.701478204	29157.0
temp | CRR214533.merged	96.5962309091	52.0	454.728503146	62137.0
temp | CRR214534.merged	96.108417615	52.0	460.934123639	69509.0
temp | CRR214535.merged	95.4038008583	52.0	453.549640241	61986.0
temp | CRR214536.merged	95.9758104543	52.0	458.617917505	76562.0
temp | CRR214537.merged	96.426037602	51.0	459.109081234	67656.0
temp | CRR214538.merged	95.587688302	51.0	454.607192672	43016.0
temp | CRR214539.merged	95.1653376457	52.0	457.625327608	35866.0
temp | CRR214540.merged	95.7189978244	51.0	455.24521019	42747.0
temp | CRR214541.merged	96.9146482122	53.0	452.88431069	65892.0
temp | CRR214542.merged	96.4701313993	51.0	456.468452895	79833.0
temp | CRR214543.merged	95.4741784038	51.0	455.139315895	37275.0
temp | CRR214544.merged	94.5163247967	53.0	457.222624105	41195.0
temp | CRR214545.merged	96.9643616943	51.0	463.267118564	68157.0
temp | CRR214546.merged	96.9466277108	53.0	452.425908399	48602.0
temp | CRR214547.merged	95.6918968304	53.0	451.665296226	28458.0
temp | CRR214548.merged	96.1707774291	53.0	453.839522295	47477.0
temp | CRR214549.merged	95.5240247969	52.0	453.276883826	44683.0
temp | CRR214550.merged	95.9913501825	52.0	451.940992026	36995.0
temp | CRR214551.merged	97.5003798815	54.0	471.729575039	39486.0
temp | CRR214552.merged	94.6424458775	53.0	450.553316444	34736.0
temp | CRR214553.merged	96.8538769155	49.0	463.103319531	56514.0
